"","i_qp_.stars","i_qp_.amidine","i_qp_.rotor","i_qp_.rtvFG","i_qp_CNS","r_qp_dipole","r_qp_SASA","r_qp_FOSA","r_qp_FISA","r_qp_PISA","r_qp_WPSA","r_qp_volume","r_qp_donorHB","r_qp_accptHB","r_qp_dip.2.V","r_qp_ACxDN..5.SA","r_qp_glob","r_qp_QPpolrz","r_qp_QPlogPC16","r_qp_QPlogPoct","r_qp_QPlogPw","r_qp_QPlogPo.w","r_qp_QPlogS","r_qp_CIQPlogS","r_qp_QPlogHERG","r_qp_QPPCaco","r_qp_QPlogBB","r_qp_QPPMDCK","r_qp_QPlogKp","r_qp_IP.eV.","r_qp_EA.eV.","X.metabol","r_qp_QPlogKhsa","i_qp_HumanOralAbsorption","r_qp_PercentHumanOralAbsorption","r_qp_SAfluorine","r_qp_SAamideO","r_qp_PSA","i_qp_RuleOfFive","i_qp_RuleOfThree","r_qp_Jm"
"1",0,0,7,0,-2,4.086,564.923,243.161,253.3,14.07,54.393,956.863,3,4,0.0174519,0.012264,0.8312705,27.779,9.976,16.051,9.706,1.623,-3.947,-3.892,-4.329,39.252,-2.169,29.678,-5.466,8.443,0.642,2,0.006,2,52.015,0,0,141.601,1,0,0.000115852813824631
"2",0,0,6,0,-1,6.45,603.372,320.773,125.745,156.854,0,1083.533,1,6,0.0383919,0.0099441,0.8455545,34.854,10.509,16.43,9.144,2.897,-4.125,-5.386,-4.779,635.998,-0.971,303.326,-2.708,8.848,0.685,6,0.15,3,94.083,0,0,103.904,0,0,0.0549268149190534
"3",2,0,1,0,1,3.939,398.656,354.809,38.173,5.674,0,646.789,0,2,0.0239937,0,0.9072801,19.143,4.637,6.68,2.726,2.226,-2.243,-1.479,-3.059,4304.324,0.194,2396.217,-2.107,9.693,-0.153,4,-0.082,3,100,0,0,25.534,0,0,3.26397216325139
"4",0,0,4,0,0,6.288,463.026,207.213,59.424,196.389,0,740.129,2,2,0.0534213,0.0061086,0.8546022,22.773,7.164,11.459,6.59,2.64,-3.101,-2.658,-4.821,2706.323,-0.22,1451.113,-1.539,7.975,-0.219,1,-0.043,3,100,0,0,39.438,0,0,4.34174434661854
"5",1,0,4,0,0,5.698,459.839,205.257,58.329,196.252,0,736.091,2,2,0.0441111,0.0061509,0.8573941,22.61,7.13,11.276,6.574,2.623,-3.044,-2.658,-4.775,2771.815,-0.207,1489.106,-1.519,8.17,-0.187,0,-0.053,3,100,0,0,39.573,0,0,5.17059650226019
"6",1,0,5,0,1,5.241,568.452,87.135,15.646,465.671,0,1006.052,1,2.5,0.0273041,0.0043979,0.8541843,35.345,11.196,14.555,7.185,4.973,-4.904,-5.551,-6.112,7039.279,0.119,4077.816,0.313,7.975,0.112,4,0.663,3,100,0,0,33.919,0,0,7.76597597900472
"7",0,0,5,0,1,5.839,546.247,87.402,18.49,440.355,0,978.951,1,2.5,0.0348316,0.0045767,0.8728711,34.019,10.849,14.218,6.979,4.755,-4.501,-5.551,-5.689,6615.462,0.1,3813.102,0.171,8.224,0.203,3,0.593,3,100,0,0,32.852,0,0,14.1747936132861
"8",1,0,1,0,2,8.937,672.211,80.733,20.755,406.261,164.462,1207.846,1,2,0.0661189,0.0029753,0.8159571,45.422,11.615,19.145,8.614,6.367,-7.866,-7.342,-5.073,4793.16,0.699,10000,-0.375,8.91,0.415,3,1.169,1,100,164.462,14.881,34.04,1,1,0.00238124384499187
"9",1,0,1,0,1,7.174,583.372,51.174,74.431,290.728,167.039,1026.487,1,2,0.0501364,0.0034283,0.8435707,37.06,10.318,16.14,6.879,5.333,-6.731,-7.23,-5.45,1950.151,0.216,8373.692,-1.771,8.422,1.388,2,0.984,1,100,103.629,0,49.199,1,1,0.00118788062069594
"10",0,0,0,0,1,10.528,576.044,51.597,85.294,276.364,162.789,1019.379,1,4,0.1087351,0.0069439,0.8503544,37.281,10.208,18.164,9.027,4.36,-6.041,-6.432,-5.271,1538.349,0.177,6141.771,-2.118,8.817,1.228,1,0.624,3,100,104.022,0,57.897,0,1,0.00262021249397246
"11",0,0,5,0,-1,5.393,585.564,273.624,130.181,149.811,31.949,1023.229,2,4.5,0.028424,0.0108681,0.8386341,33.016,10.352,16.455,9.303,3.141,-4.581,-4.251,-4.858,577.296,-0.893,408.76,-2.911,8.712,0.904,1,0.274,3,94.758,0,0,67.934,0,0,0.0101210058587971
"12",0,0,10,0,1,5.897,685.742,199.179,64.936,382.842,38.786,1248.687,2,5.5,0.0278509,0.0113427,0.8177861,41.054,13.709,19.711,10.57,4.286,-3.984,-4.982,-7.032,598.426,-0.193,512.476,-2.47,8.775,1.051,7,0.469,3,100,0,0,65.471,0,1,0.139221738149863
"13",2,0,2,0,1,2.012,556.605,0,30.761,525.844,0,950.149,1,3,0.0042611,0.0053898,0.839742,35.609,11.136,14.812,8.823,4.375,-5.006,-5.072,-6.633,5060.471,0.152,2854.283,-0.042,7.855,0.827,2,0.538,3,100,0,0,34.795,0,0,2.56580651871146
"14",1,0,2,0,1,3.805,556.788,0,43.779,513.009,0,950.366,1,3,0.0152319,0.005388,0.8395932,35.495,11.139,14.966,8.825,4.271,-5.009,-5.072,-6.574,3808.402,0.029,2099.25,-0.327,8.09,0.856,1,0.538,3,100,0,0,35.52,0,0,1.32067700762699
"15",2,0,17,0,-2,4.32,796.404,661.011,98.914,36.479,0,1364.32,2,4.2,0.0136814,0.0074581,0.7469803,37.879,12.623,16.584,7.717,4.614,-5.46,-3.393,-4.426,723.709,-1.643,571.386,-1.582,9.808,-0.838,5,0.365,1,100,0,24.916,61.369,0,0,0.0293837392222238
"16",1,0,4,1,-1,5.635,489.204,192.896,134.857,136.954,24.497,837.488,1,5,0.0379161,0.0102207,0.8783372,26.102,8.032,13.057,8.261,2.314,-2.945,-3.144,-2.346,132.024,-0.783,96.052,-3.138,9.019,1.308,0,-0.361,3,78.447,24.497,0,75.751,0,0,0.217132326558059
"17",7,0,4,0,-1,4.102,272.981,71.161,201.82,0,0,392.425,3,3.7,0.0428825,0.0234763,0.9495933,6.982,4.089,8.739,8.905,-3.314,0.309,0.581,-1.266,7.63,-0.771,3.581,-6.918,9.991,-1.096,4,-1.1,1,23.337,0,0,96.827,0,1,0.0519183727562236
"18",0,0,4,0,1,3.451,612.142,134.788,101.698,341.304,34.352,1064.408,1,7.5,0.0111863,0.0122521,0.8236038,37.135,11.209,17.998,12.187,2.13,-2.992,-3.227,-6.74,268.16,-0.194,203.504,-3.87,8.934,1.367,4,-0.121,3,82.882,33.613,0,65.524,0,0,0.0474041673159855
"19",0,0,8,0,-2,5.894,603.002,227.936,172.346,202.72,0,1060.163,4.25,4.75,0.0327715,0.0162394,0.8338635,33.073,11.655,19.971,14.957,-0.122,-2.278,-2.342,-2.731,8.64,-1.173,7.179,-5.276,8.316,-0.035,5,-0.479,2,42.991,0,28.334,115.646,0,1,0.00885042815743227
"20",0,0,8,0,-2,5.529,612.009,222.333,182.623,207.052,0,1071.042,4.25,4.75,0.0285376,0.0160004,0.8272026,33.55,11.853,20.116,14.915,-0.128,-2.498,-2.342,-2.86,7.188,-1.299,5.633,-5.45,8.518,0.185,5,-0.457,2,41.528,0,26.128,118.689,0,1,0.00357287101814082
"21",0,0,11,0,1,2.409,717.787,424.416,58.119,235.253,0,1230.233,2,5.45,0.0047183,0.0107378,0.7735603,38.263,12.273,17.692,9.313,3.89,-4.226,-3.688,-7.044,694.476,-0.348,369.046,-2.768,8.694,-0.198,7,0.361,3,100,0,0,58.542,0,1,0.0350322726212157
"22",0,0,11,0,1,3.462,718.745,424.869,57.547,236.329,0,1231.017,2,5.45,0.0097338,0.0107235,0.7728577,38.305,12.287,17.771,9.319,3.899,-4.242,-3.688,-7.061,703.197,-0.343,374.057,-2.754,8.654,-0.232,7,0.362,3,100,0,0,58.464,0,1,0.0348397758776764
"23",0,0,11,0,1,4.275,706.811,432.759,45.947,228.105,0,1220.795,2,5.45,0.014969,0.0109046,0.7815502,37.818,12.019,17.638,9.155,3.911,-4.034,-3.688,-6.881,905.905,-0.202,491.86,-2.569,8.508,-0.233,7,0.34,3,100,0,0,56.681,0,1,0.0860897099733232
"24",0,0,11,0,1,4.179,697.826,425.721,40.637,231.468,0,1215.15,2,5.45,0.0143717,0.011045,0.7891715,37.624,11.93,17.574,9.12,3.922,-3.878,-3.688,-6.773,1017.287,-0.136,557.539,-2.46,8.655,-0.302,7,0.33,3,100,0,0,57.252,0,1,0.158820774592809
"25",0,0,5,0,1,3.474,569.014,302.342,63.062,203.61,0,1049.94,1,5.45,0.0114954,0.009578,0.8779807,34.599,10.175,15.571,8.632,3.422,-3.246,-3.218,-5.204,623.417,0.115,328.405,-3.547,8.776,0.877,4,0.226,3,100,0,0,46.897,0,0,0.197406933916287
"26",0,0,5,0,1,3.264,558.125,289.994,62.823,205.308,0,1033.16,1,5.45,0.0103095,0.0097648,0.8855473,33.943,10.06,15.345,8.616,3.399,-3.189,-3.218,-5.089,626.679,0.127,330.263,-3.537,8.783,0.885,4,0.186,3,96.912,0,0,46.753,0,0,0.311471317667511
"27",0,0,0,0,1,4.47,487.971,88.191,55.868,343.911,0,812.556,0,2.5,0.0245899,0,0.8629921,29.649,8.526,11.221,6.075,3.489,-4.155,-3.89,-5.389,2924.852,0.063,1578.168,-1.338,9.203,0.905,1,0.308,3,100,0,0,35.067,0,0,0.759478778518381
"28",1,0,3,0,1,7.492,645.939,349.462,48.189,138.41,109.878,1137.036,1,3.5,0.0493672,0.0054185,0.8156229,38.746,10.528,16.729,6.832,5.197,-6.756,-5.548,-5.175,3458.758,0.169,7564.295,-1.632,9.046,0.495,2,0.905,1,100,41.3,0,49.247,1,1,0.00143252774968166
"29",1,0,3,0,0,8.899,576.106,0.671,99.446,221.946,254.042,962.14,3,2.75,0.0823068,0.0082678,0.8181287,32.544,10.202,18.587,11.258,3.615,-5.293,-5.332,-4.159,791.243,0.016,10000,-2.282,8.878,0.753,3,0.03,3,100,116.888,19.415,66.77,0,0,0.00971621861401778
"30",4,0,0,0,1,0.7,482.386,482.386,0,0,0,854.166,0,4,0.0005731,0,0.9025368,28.03,6.36,10.417,4.82,1.954,-0.825,-0.825,-4.561,616.169,-0.671,358.757,-1.284,8.471,-2.406,0,0.028,3,88.317,0,0,7.771,0,0,1821.51174071528
"31",4,0,0,0,1,0.887,474.259,474.259,0,0,0,854.115,0,4,0.0009208,0,0.9179672,28.028,6.463,10.461,4.8,1.863,-0.671,-0.671,-4.312,616.169,-0.687,358.757,-1.353,8.648,-2.323,0,0.027,3,87.782,0,0,7.105,0,0,2217.54036461811
"32",5,0,0,0,2,0.518,480.438,476.269,4.169,0,0,852.624,0,4,0.0003143,0,0.9051065,27.968,6.391,10.419,4.844,1.827,-0.788,-0.146,-4.52,562.552,1.327,325.136,-5.722,8.712,-2.116,0,0.023,3,86.864,0,0,9.46,0,0,0.0724918566489067
"33",5,0,0,0,2,1.366,468.26,464.271,3.989,0,0,836.437,0,4,0.0022315,0,0.9168535,27.32,6.316,10.243,4.813,1.722,-0.557,-0.146,-4.33,564.77,1.329,326.522,-5.718,8.508,-2.255,0,-0.024,3,86.284,0,0,6.614,0,0,0.12427312426199
"34",4,0,0,0,1,0.649,490.61,490.61,0,0,0,866.066,0,4,0.0004858,0,0.8956314,28.506,6.43,10.567,4.84,2.047,-0.981,-0.981,-4.673,616.169,-0.654,358.757,-1.215,8.62,-2.221,0,0.062,3,88.859,0,0,7.927,0,0,1492.72746621775
"35",5,0,0,0,2,0.518,477.585,473.416,4.169,0,0,855.714,0,4,0.0003135,0,0.9127108,28.092,6.471,10.483,4.837,1.847,-0.734,-0.146,-4.397,562.559,1.327,325.14,-5.722,8.712,-2.116,0,0.032,3,86.983,0,0,8.97,0,0,0.0821031729655713
"36",4,0,0,0,1,0.647,490.571,490.571,0,0,0,867.353,0,4,0.0004827,0,0.8965898,28.557,6.448,10.588,4.84,2.046,-0.98,-0.98,-4.658,616.169,-0.654,358.757,-1.215,8.616,-2.222,0,0.066,3,88.856,0,0,8.431,0,0,1494.12843392105
"37",4,0,0,0,1,0.7,482.06,482.06,0,0,0,854.528,0,4,0.0005735,0,0.903403,28.044,6.369,10.424,4.819,1.95,-0.819,-0.819,-4.547,616.169,-0.671,358.757,-1.287,8.471,-2.406,0,0.029,3,88.296,0,0,7.726,0,0,1835.95467760764
"38",4,0,0,0,1,0.555,479.877,479.877,0,0,0,859.128,0,4,0.000358,0,0.9107659,28.228,6.461,10.507,4.814,1.926,-0.777,-0.777,-4.428,616.169,-0.676,358.757,-1.306,8.469,-2.412,0,0.042,3,88.152,0,0,7.78,0,0,1935.56240260319
"39",4,0,0,0,1,0.792,479.12,479.12,0,0,0,857.008,0,4,0.0007314,0,0.910703,28.143,6.441,10.481,4.812,1.917,-0.763,-0.763,-4.429,616.169,-0.677,358.757,-1.312,8.667,-2.229,0,0.036,3,88.102,0,0,7.084,0,0,1971.34327761952
"40",4,0,0,0,1,0.494,478.228,478.228,0,0,0,850.383,0,4,0.000287,0,0.907694,27.878,6.358,10.372,4.81,1.907,-0.746,-0.746,-4.478,616.169,-0.679,358.757,-1.32,8.435,-2.401,0,0.017,3,88.043,0,0,7.095,0,0,2014.37496940773
"41",5,0,0,0,2,1.144,464.248,462.4,1.848,0,0,831.567,0,4,0.0015726,0,0.921185,27.125,6.286,10.164,4.789,1.705,-0.481,-0.146,-4.26,591.805,1.346,343.448,-5.679,8.555,-2.464,0,-0.038,3,86.548,0,0,6.296,0,0,0.162137914552617
"42",5,0,0,0,2,0.551,488.251,488.145,0.106,0,0,861.866,0,4,0.0003522,0,0.8970462,28.338,6.399,10.51,4.835,1.915,-0.936,-0.146,-4.65,614.747,1.36,357.862,-5.647,8.643,-2.341,0,0.05,3,88.072,0,0,8.172,0,0,0.0612517253018825
"43",4,0,0,0,1,0.63,482.176,482.176,0,0,0,850.69,0,4,0.0004663,0,0.9004798,27.891,6.313,10.36,4.82,1.952,-0.821,-0.821,-4.595,616.169,-0.671,358.757,-1.286,8.418,-2.505,0,0.018,3,88.303,0,0,7.211,0,0,1830.82042815972
"44",4,0,0,0,1,0.447,479.964,479.964,0,0,0,852.635,0,4,0.0002348,0,0.9060065,27.968,6.368,10.399,4.814,1.927,-0.779,-0.779,-4.505,616.169,-0.676,358.757,-1.305,8.43,-2.412,0,0.023,3,88.158,0,0,7.164,0,0,1931.48031681307
"45",5,0,0,0,2,1.067,460.729,457.324,3.405,0,0,829.181,0,4,0.0013718,0,0.9264442,27.03,6.313,10.148,4.791,1.679,-0.415,-0.146,-4.175,572.022,1.334,331.056,-5.707,8.57,-2.414,0,-0.045,3,86.13,0,0,6.251,0,0,0.176955681337785
"46",5,0,0,0,2,0.637,481.144,481.142,0.003,0,0,852.626,0,4,0.0004761,0,0.9037784,27.968,6.353,10.397,4.817,1.856,-0.801,-0.146,-4.541,616.131,1.36,358.732,-1.358,8.633,-2.335,0,0.023,3,87.74,0,0,8.036,0,0,1622.37066745037
"47",5,0,0,0,2,0.612,481.415,481.295,0.12,0,0,848.039,0,4,0.0004415,0,0.9000285,27.785,6.286,10.321,4.818,1.825,-0.807,-0.146,-4.602,614.558,1.36,357.743,-5.647,8.432,-2.498,0,0.01,3,87.541,0,0,7.076,0,0,0.0824909972516405
"48",5,0,0,0,2,0.612,481.439,481.323,0.116,0,0,848.069,0,4,0.0004412,0,0.9000035,27.786,6.286,10.322,4.819,1.825,-0.807,-0.146,-4.602,614.606,1.36,357.773,-5.647,8.432,-2.498,0,0.01,3,87.543,0,0,7.066,0,0,0.0824155003643447
"49",5,0,0,0,2,0.637,481.624,481.622,0.002,0,0,853.17,0,4,0.0004751,0,0.9032625,27.99,6.355,10.403,4.818,1.859,-0.811,-0.146,-4.55,616.145,1.36,358.742,-1.356,8.633,-2.335,0,0.025,3,87.761,0,0,8.036,0,0,1598.56035817393
"50",0,0,3,0,2,4.515,541.923,388.037,27.272,126.614,0,958.004,1,3.5,0.0212759,0.0064585,0.86724,31.468,8.476,13.257,6.32,3.26,-3.19,-2.681,-5.01,1362.017,0.539,764.303,-3.351,9.017,-0.104,4,0.431,3,100,0,0,35.52,0,0,0.0784157293504403
"51",0,0,6,0,1,4.232,702.114,306.884,82.703,223.926,88.6,1221.748,3,7,0.0146571,0.0172684,0.7871878,41.026,11.895,21.857,13.491,2.697,-3.349,-2.678,-7.496,101.257,0.327,155.756,-5.804,8.703,0.261,7,0.232,2,78.63,88.6,0,68.885,0,1,0.000263344992368633
"52",0,0,6,0,1,3.255,713.425,317.022,88.385,219.413,88.606,1231.096,3,7,0.0086074,0.0169946,0.7786538,41.357,12.019,21.875,13.526,2.701,-3.536,-2.678,-7.612,89.442,0.244,136.217,-5.925,8.7,0.258,7,0.247,2,77.69,88.606,0,68.58,0,1,0.000129687460274085
"53",0,0,6,0,1,7.036,704.194,312.043,80.489,223.008,88.653,1227.207,3,7,0.0403447,0.0172174,0.787199,41.236,11.925,22.272,13.475,2.745,-3.383,-2.678,-7.491,106.272,0.351,164.22,-5.766,8.681,0.235,7,0.246,2,79.285,88.653,0,69.57,0,1,0.000265178748386244
"54",1,0,0,1,0,3.739,321.568,157.726,153.756,10.086,0,489.17,2,4.5,0.0285768,0.0197904,0.9336816,13.519,4.509,9.689,8.969,-1.006,0.09,0.039,-3.379,86.047,-0.214,38.619,-6.38,9.766,0.122,2,-0.677,2,55.681,0,0,75.182,0,0,0.0717819673397211
"55",1,0,1,0,0,6.372,322.788,156.524,143.562,22.702,0,490.777,2,3,0.082725,0.0131437,0.9321882,13.062,4.527,9.395,7.29,-0.475,0.108,-0.285,-3.464,107.499,-0.2,49.124,-6.052,9.945,0.287,3,-0.602,2,60.523,0,0,66.141,0,0,0.159595473894272
"56",1,0,1,0,0,7.095,325.347,158.612,143.893,22.841,0,495.094,2,3,0.1016873,0.0130404,0.9302723,13.236,4.557,9.714,7.3,-0.453,0.07,-0.285,-3.495,106.724,-0.207,48.741,-6.058,9.761,0.159,3,-0.594,2,60.593,0,0,66.687,0,0,0.144295701731759
"57",1,0,0,1,0,5.245,319.898,155.789,153.797,10.312,0,485.88,2,4.5,0.0566252,0.0198937,0.9343425,13.389,4.482,10.03,8.967,-1.023,0.111,0.039,-3.37,85.968,-0.213,38.581,-6.38,9.527,-0.039,2,-0.682,2,55.575,0,0,74.779,0,0,0.0753980395019953
"58",1,0,6,0,2,1.741,552.251,275.446,6.43,207.002,63.373,960.576,0,3.75,0.0031563,0,0.8525435,30.413,9.083,11.516,4.892,3.56,-2.783,-2.805,-5.631,2146.955,0.697,2780.018,-2.395,8.49,0.867,3,0.149,3,100,0,0,22.515,0,0,1.78290979166001
"59",0,0,6,0,2,1.369,562.241,271.102,19.378,208.395,63.366,956.123,0,3.75,0.0019613,0,0.8348048,30.248,9.081,11.449,5.014,3.48,-2.941,-2.805,-5.925,1618.24,0.571,2047.859,-2.629,8.574,0.95,3,0.136,3,100,0,0,23.243,0,0,0.673175555607203
"60",0,0,6,0,-1,6.194,653.803,260.563,113.895,245.141,34.203,1128.96,2,5.25,0.0339779,0.011356,0.8019929,37.515,11.46,18.453,10.524,3.637,-5.362,-5.225,-5.905,823.818,-0.895,617.646,-2.179,8.338,1.084,2,0.359,3,100,34.203,0,88.927,0,0,0.0101950474616542
"61",1,0,7,0,-2,12.901,587.754,93.944,200.32,293.491,0,989.722,1,3,0.1681518,0.0051042,0.8171679,31.763,11.031,15.941,7.368,3.722,-4.751,-4.817,-4.083,31.613,-1.858,15.043,-3.505,9.575,1.315,4,0.267,2,75.583,0,0,103.852,0,0,0.00165491077629811
"62",0,0,2,0,1,3.579,487.446,0,68.829,273.058,145.559,796.233,1,3.5,0.0160839,0.0071803,0.8523119,27.035,9.144,12.755,7.74,3.203,-4.247,-3.957,-5.224,2203.903,0.168,7289.076,-1.634,9.118,0.898,1,0.035,3,100,0,0,47.905,0,0,0.351444629708939
"63",0,0,2,0,0,3.195,504.908,250.818,73.818,180.272,0,869.82,0,6,0.0117361,0,0.8727823,29.094,8.126,12.536,10.13,1.122,-1.424,-1.34,-3.076,1204.719,-0.203,1033.158,-2.053,9.461,0.399,1,-0.869,3,88.66,0,27.01,57.383,0,0,82.1395280686572
"64",6,0,5,0,-1,5.069,308.95,96.865,212.086,0,0,460.468,5,4,0.0557942,0.0289505,0.9334181,9.063,5.205,12.7,12.065,-3.744,1.725,1.542,-2.254,1.521,-0.564,0.693,-9.073,9.617,-0.919,5,-1.157,1,8.281,0,0,101.161,0,1,0.0052977148009344
"65",5,0,5,0,-1,4.462,311.384,95.842,215.543,0,0,462.763,5,4,0.0430226,0.0287242,0.9291966,9.155,5.206,12.568,12.095,-3.763,1.702,1.542,-2.322,1.41,-0.605,0.639,-9.137,9.565,-0.605,5,-1.16,1,7.583,0,0,102.305,0,1,0.00433388066314079
"66",0,0,3,0,0,9.218,590.235,467.831,87.078,35.325,0,1077.366,1,7,0.0788643,0.0118597,0.8610912,35.373,9.358,17.47,11.719,1.954,-3.157,-3.358,-2.574,890.696,-0.4,755.529,-2.712,8.881,0.625,7,-0.246,3,91.182,0,27.69,84.119,0,1,0.507495269001419
"67",1,0,1,0,1,4.536,466.719,325.907,32.709,108.104,0,805.241,0,4.5,0.0255481,0,0.8968651,26.462,6.841,10.757,6.012,2.257,-2.543,-2.743,-3.716,4849.796,0.232,2726.063,-1.645,9.166,0.161,0,-0.291,3,100,0,0,44.822,0,0,16.0396771775036
"68",0,0,7,0,1,4.866,580.57,334.582,42.068,106.61,97.31,1054.733,1,6,0.0224484,0.0103347,0.8631223,32.58,10.024,15.419,7.992,3.091,-2.774,-3.315,-4.981,985.985,0.402,1839.371,-3.31,8.918,1.084,1,0.041,3,100,0,0,44.174,0,0,0.29136670158141
"69",0,0,5,0,1,3.565,616.973,527.615,42.702,46.657,0,1100.638,1,5.2,0.011546,0.0084282,0.8355938,35.129,9.292,15.138,7.295,3.251,-3.588,-2.976,-5.141,972.437,0.253,531.018,-3.725,8.534,-0.318,5,0.391,3,100,0,0,41.127,0,0,0.0153535334139857
"70",0,0,5,0,1,4.057,614.246,526.432,38.716,49.098,0,1097.715,1,5.2,0.0149943,0.0084657,0.8378169,35.035,9.257,15.144,7.278,3.264,-3.541,-2.976,-5.117,1060.844,0.293,583.386,-3.643,8.5,-0.366,5,0.384,3,100,0,0,41.821,0,0,0.0207104082231928
"71",0,0,5,0,1,1.095,612.214,526.288,39.096,46.83,0,1097.125,1,5.2,0.0010927,0.0084938,0.8402961,34.99,9.241,14.945,7.261,3.256,-3.506,-2.976,-5.066,1052.087,0.292,578.182,-3.658,8.527,-0.315,5,0.383,3,100,0,0,40.344,0,0,0.0217217577146407
"72",0,0,5,0,1,2.62,613.066,517.752,46.996,48.319,0,1097.364,1,5.2,0.0062567,0.008482,0.83925,35.013,9.308,15.062,7.326,3.208,-3.523,-2.976,-5.09,885.404,0.216,479.839,-3.798,8.609,-0.251,5,0.383,3,100,0,0,42.338,0,0,0.0151910363070244
"73",0,0,5,0,1,2.359,619.114,529.846,42.659,46.608,0,1103.97,1,5.2,0.00504,0.0083991,0.8343845,35.261,9.322,15.092,7.3,3.271,-3.623,-2.976,-5.16,973.345,0.252,531.554,-3.724,8.588,-0.26,5,0.399,3,100,0,0,41.995,0,0,0.0140984812449621
"74",0,0,5,0,1,2.393,605.946,520.483,45.105,40.358,0,1089.984,1,5.2,0.0052551,0.0085816,0.845301,34.642,9.179,14.915,7.242,3.173,-3.4,-2.976,-4.954,922.724,0.24,501.738,-3.791,8.667,-0.199,5,0.366,3,100,0,0,42.512,0,0,0.0205759634003628
"75",0,0,5,0,1,3.435,616.754,534.427,34.583,47.744,0,1101.57,1,5.2,0.0107124,0.0084312,0.8363621,35.176,9.252,15.108,7.247,3.313,-3.58,-2.976,-5.134,1161.049,0.331,643.17,-3.571,8.48,-0.372,5,0.393,3,100,0,0,41.367,0,0,0.0220551477553175
"76",0,0,5,0,1,3.066,599.33,535.53,24.023,39.777,0,1083.214,1,5.2,0.0086803,0.0086764,0.8510898,34.366,8.975,14.778,7.079,3.269,-3.286,-2.976,-4.857,1462.136,0.44,825.205,-3.405,8.448,-0.456,5,0.351,3,100,0,0,40.311,0,0,0.0654259877876686
"77",0,0,5,0,1,3.057,599.298,535.526,24.051,39.722,0,1083.27,1,5.2,0.0086282,0.0086768,0.8511636,34.367,8.975,14.778,7.079,3.269,-3.286,-2.976,-4.856,1461.256,0.439,824.668,-3.405,8.448,-0.457,5,0.351,3,100,0,0,40.299,0,0,0.0654026712700682
"78",0,0,5,0,1,3.433,616.759,534.454,34.567,47.738,0,1101.594,1,5.2,0.010697,0.0084312,0.8363686,35.177,9.253,15.108,7.247,3.313,-3.58,-2.976,-5.134,1161.455,0.331,643.413,-3.571,8.48,-0.373,5,0.394,3,100,0,0,41.364,0,0,0.0220652203677668
"79",0,0,5,0,1,3.215,596.906,530.387,26.48,40.039,0,1089.099,1,5.2,0.0094914,0.0087116,0.8576379,34.604,9.064,14.91,7.092,3.291,-3.246,-2.976,-4.753,1385.756,0.421,778.711,-3.449,8.453,-0.449,5,0.369,3,100,0,0,40.694,0,0,0.0651317989926895
"80",0,0,5,0,1,3.477,614.127,532.362,35.539,46.226,0,1096.665,1,5.2,0.0110224,0.0084673,0.8374449,34.965,9.203,15.043,7.237,3.275,-3.538,-2.976,-5.109,1137.072,0.323,628.825,-3.594,8.487,-0.367,5,0.381,3,100,0,0,41.168,0,0,0.0232666920079666
"81",0,0,5,0,1,2.469,606.097,517.748,45.851,42.498,0,1096.878,1,5.2,0.0055574,0.0085795,0.8486492,34.938,9.271,15.045,7.262,3.211,-3.402,-2.976,-4.91,907.802,0.236,492.973,-3.797,8.654,-0.215,5,0.386,3,100,0,0,42.319,0,0,0.020159431702754
"82",0,0,5,0,1,1.821,644.62,548.309,47.398,48.913,0,1125.761,1,5.2,0.0029469,0.0080668,0.8118804,36.156,9.567,15.324,7.409,3.367,-4.039,-2.976,-5.535,877.659,0.181,475.304,-3.803,8.628,-0.226,5,0.448,3,100,0,0,42.198,0,0,0.00416699453046319
"83",0,0,5,0,1,1.821,644.62,548.309,47.398,48.913,0,1125.761,1,5.2,0.0029471,0.0080668,0.8118805,36.156,9.567,15.324,7.409,3.367,-4.039,-2.976,-5.535,877.659,0.181,475.304,-3.803,8.628,-0.226,5,0.448,3,100,0,0,42.198,0,0,0.00416702422338879
"84",0,0,5,0,1,2.469,606.085,517.738,45.851,42.496,0,1096.865,1,5.2,0.0055565,0.0085796,0.8486593,34.938,9.271,15.044,7.262,3.21,-3.402,-2.976,-4.91,907.802,0.236,492.973,-3.797,8.654,-0.215,5,0.386,3,100,0,0,42.319,0,0,0.0201689482725867
"85",0,0,5,0,1,3.477,615.138,532.35,35.533,47.255,0,1097.605,1,5.2,0.0110144,0.0084534,0.8365462,35.013,9.218,15.059,7.246,3.281,-3.555,-2.976,-5.128,1137.22,0.322,628.913,-3.59,8.487,-0.367,5,0.383,3,100,0,0,41.17,0,0,0.0225267297729292
"86",0,0,5,0,1,3.215,596.906,530.387,26.48,40.039,0,1089.099,1,5.2,0.0094916,0.0087116,0.857638,34.604,9.064,14.91,7.092,3.291,-3.246,-2.976,-4.753,1385.757,0.421,778.712,-3.449,8.453,-0.449,5,0.369,3,100,0,0,40.694,0,0,0.0651322704809208
"87",3,0,1,0,-1,6.871,322.866,153.721,134.722,34.422,0,489.112,1,2.5,0.0965355,0.0077431,0.9298541,13.107,4.275,7.847,5.353,-1.465,-0.681,-0.007,-1.75,33.024,-0.137,17.446,-5.848,9.707,0.219,2,-0.683,2,45.55,0,0,66.256,0,0,0.0376104699272921
