"","i_qp_.stars","i_qp_.amidine","i_qp_.rotor","i_qp_.rtvFG","i_qp_CNS","r_qp_dipole","r_qp_SASA","r_qp_FOSA","r_qp_FISA","r_qp_PISA","r_qp_WPSA","r_qp_volume","r_qp_donorHB","r_qp_accptHB","r_qp_dip.2.V","r_qp_ACxDN..5.SA","r_qp_glob","r_qp_QPpolrz","r_qp_QPlogPC16","r_qp_QPlogPoct","r_qp_QPlogPw","r_qp_QPlogPo.w","r_qp_QPlogS","r_qp_CIQPlogS","r_qp_QPlogHERG","r_qp_QPPCaco","r_qp_QPlogBB","r_qp_QPPMDCK","r_qp_QPlogKp","r_qp_IP.eV.","r_qp_EA.eV.","X.metabol","r_qp_QPlogKhsa","i_qp_HumanOralAbsorption","r_qp_PercentHumanOralAbsorption","r_qp_SAfluorine","r_qp_SAamideO","r_qp_PSA","i_qp_RuleOfFive","i_qp_RuleOfThree","r_qp_Jm"
"555",0,0,8,0,0,1.182,635.336,295.168,39.177,258.41,42.581,1125.602,1,4.95,0.0012416,0.0077912,0.8236664,36.224,11.287,15.645,7.863,4.467,-4.925,-5.117,-5.618,4211.012,-0.199,4004.045,-0.563,8.47,0.325,5,0.375,3,100,0,0,48.348,0,0,1.11503625760402
"556",0,0,6,0,-1,6.462,607.911,327.886,119.922,160.104,0,1095.75,1.25,3.75,0.0381097,0.0068968,0.8455374,35.374,10.663,15.738,8.37,3.796,-4.5,-3.831,-1.613,139.934,-0.916,100.323,-2.59,9.368,-0.263,3,0.126,3,87.581,0,14.618,79.052,0,0,0.0258014628651884
"557",0,0,6,0,-1,7.16,643.917,351.923,107.038,184.956,0,1132.198,1.25,3.75,0.0452738,0.0065111,0.8158619,37.07,11.066,16.306,9.256,4.135,-4.823,-3.831,-2.212,155.193,-0.87,135.975,-2.265,9.648,-0.09,3,0.215,3,90.37,0,24.32,80.626,0,0,0.0259411982569307
"558",0,0,6,0,-1,7.661,593.254,315.46,92.278,185.515,0,1088.466,1.25,3.75,0.053925,0.0070672,0.8625828,35.325,10.617,15.898,9.159,3.977,-3.864,-3.831,-1.458,207.844,-0.625,192.64,-1.991,9.61,-0.114,3,0.113,3,91.716,0,25.966,77.285,0,0,0.443542659335916
"559",1,0,5,0,-2,6.296,399.389,200.195,197.009,0,2.186,616.605,2,6.5,0.064284,0.0230161,0.8772164,15.312,5.602,11.816,12.746,-0.892,0.041,-0.098,-0.337,18.311,-1.439,16.72,-4.67,9.646,0.225,0,-1.397,2,44.325,0,33.738,102.579,0,1,4.25867358849898
"560",1,0,0,0,1,0.554,432.006,185.818,72.198,173.99,0,721.188,1,3.5,0.0004248,0.0081017,0.9002726,24.37,6.997,10.921,7.345,1.532,-1.76,-1.724,-4.702,510.677,0.368,264.71,-4.3,9.365,1.256,4,-0.058,3,84.388,0,0,40.531,0,0,0.184146726459046
"561",0,0,8,0,-1,3.352,673.439,293.3,80.982,281.031,18.126,1168.944,1,8.95,0.0096119,0.01329,0.796885,38.174,12,18.629,14.824,2.69,-2.696,-3.859,-6.159,67.29,-0.724,1096.555,-1.254,8.898,0.676,6,-0.331,3,75.413,0,0,71.231,0,0,40.3244357464306
"562",0,0,8,0,-1,9.721,671.285,304.505,95.833,256.19,14.757,1175.815,1,8.95,0.0803757,0.0133326,0.8025719,38.212,11.965,19.655,14.75,2.592,-2.645,-3.859,-5.948,48.653,-0.874,740.203,-1.615,8.847,0.682,6,-0.309,2,72.318,0,0,70.815,0,0,19.7510671924131
"563",0,0,8,0,-1,9.369,622.944,284.566,77.871,235.025,25.483,1139.846,1,8.95,0.0770089,0.0143673,0.8471238,36.57,11.431,19.126,14.371,2.544,-1.879,-3.859,-5.127,72.02,-0.58,1294.85,-1.359,8.917,0.511,6,-0.368,3,75.084,0,0,68.103,0,0,207.957499133329
"564",0,0,8,0,-1,3.716,676.879,296.177,83.418,280.627,16.656,1174.878,1,8.95,0.0117556,0.0132225,0.7955168,38.408,12.063,18.74,14.846,2.703,-2.748,-3.859,-6.179,63.803,-0.757,1016.25,-1.3,8.901,0.695,6,-0.316,3,75.074,0,0,72.187,0,0,32.1533892143859
"565",2,0,0,0,0,4.063,322.798,0,106.536,144.744,71.517,497.554,1,3,0.0331773,0.0092937,0.9407213,15.14,5.575,8.407,6.65,1.09,-2.458,-2.05,-3.181,967.42,-0.064,1176.448,-2.973,9.228,0.53,0,-0.522,3,86.766,0,0,57.127,0,0,4.50504638357687
"566",2,0,0,0,0,4.554,322.489,0,105.966,144.977,71.546,495.802,1,3,0.0418222,0.0093026,0.9394114,15.073,5.539,8.497,6.647,1.089,-2.456,-2.05,-3.204,979.538,-0.061,1192.811,-2.962,9.258,0.565,0,-0.526,3,86.857,0,0,56.749,0,0,4.67593172580299
"567",5,0,9,0,-2,12.663,542.46,81.028,429.112,9.382,22.937,938.975,4,10.5,0.1707862,0.0387125,0.8548698,25.734,11.091,23.115,18.231,0.017,-2.897,-3.453,3.305,0.014,-3.837,0.002,-8.531,9.358,1.683,5,-1.551,1,0,0,0,228.407,0,1,1.27755451204223e-06
"568",1,0,14,0,1,5.635,833.513,645.24,50.644,137.629,0,1513.711,1,6,0.0209761,0.0071984,0.7649178,46.75,14.072,19.47,7.292,4.643,-6.69,-6.446,-6.718,817.604,-0.459,440.25,-2.687,8.736,-0.044,6,0.94,1,100,0,0,70.116,0,1,0.000185179980946435
"569",0,0,7,0,-2,1.442,634.079,175.679,137.92,287.733,32.748,1113.736,1,5.25,0.0018672,0.0082797,0.819489,36.671,12.005,16.475,9.244,3.579,-4.913,-5.337,-5.825,487.539,-1.147,343.968,-2.376,8.373,0.948,5,0.324,3,96.012,0,0,93.388,0,0,0.0183741933230091
"570",0,0,7,0,-1,1.371,624.218,191.367,122.345,275.301,35.204,1104.282,1,5.25,0.0017013,0.0084105,0.8277178,36.174,11.74,16.242,9.03,3.626,-4.75,-5.337,-5.633,685.021,-0.963,512.407,-2.132,8.365,0.928,5,0.302,3,100,0,0,90.866,0,0,0.0468324770347134
"571",0,0,7,0,-2,2.563,632.369,175.708,136.258,287.719,32.684,1111.853,1,5.25,0.005908,0.0083021,0.8207788,36.595,11.975,16.5,9.228,3.579,-4.883,-5.337,-5.804,505.55,-1.127,357.434,-2.345,8.348,0.95,5,0.319,3,96.294,0,0,92.794,0,0,0.0211460299681162
